Place	Computer	Family_Wealth	Parents_Time	Family	Marginalized	Family_good_contact	Gaming_addiction	Time	Grades	Condition	Eyesight	Friends	Problems	Sleep	Posture
Village	DoesNotHave	Wealthy	Little	Yes	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	Siblings	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Poor	Much	No	No	Poor	Yes	Little	Poor	Good	Poor	DoesNotHave	School	LessThanFive	Straight
City	DoesNotHave	Wealthy	Much	No	No	Good	No	Little	Good	Good	Good	Has	No	SevenPlus	Straight
City	DoesNotHave	Poor	Little	No	No	Poor	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
City	DoesNotHave	Poor	Little	Yes	No	Poor	No	Much	Poor	Poor	Poor	DoesNotHave	No	SevenPlus	Straight
City	Has	Wealthy	Much	Yes	Siblings	Poor	Yes	Much	Good	Poor	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Good	No	Much	Poor	Good	Poor	Has	No	SevenPlus	Crooked
City	Has	Poor	Much	No	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Wealthy	Little	Yes	No	Poor	Yes	Little	Good	Poor	Good	DoesNotHave	School	SevenPlus	Straight
Village	DoesNotHave	Poor	Little	No	Siblings	Poor	No	Little	Good	Good	Poor	Has	School	LessThanFive	Straight
Village	DoesNotHave	Poor	Little	No	No	Good	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Little	No	No	Good	Yes	Much	Poor	Good	Poor	DoesNotHave	School	Six	Crooked
City	Has	Poor	Much	Yes	Parents	Good	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	Yes	Siblings	Good	No	Little	Good	Good	Poor	DoesNotHave	No	SevenPlus	Straight
City	Has	Poor	Little	No	No	Good	Yes	Little	Good	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Much	Yes	No	Poor	Yes	Much	Poor	Poor	Poor	Has	School	LessThanFive	Crooked
Village	DoesNotHave	Poor	Much	No	Parents	Good	No	Much	Poor	Good	Poor	Has	Friends	SevenPlus	Crooked
City	Has	Poor	Much	No	No	Poor	Yes	Much	Good	Poor	Good	DoesNotHave	School	LessThanFive	Crooked
Village	Has	Poor	Little	Yes	No	Poor	Yes	Much	Good	Good	Poor	DoesNotHave	No	Six	Straight
City	DoesNotHave	Poor	Much	Yes	Parents	Good	No	Little	Poor	Good	Poor	Has	No	SevenPlus	Straight
Village	DoesNotHave	Poor	Much	Yes	Parents	Good	No	Much	Poor	Good	Poor	Has	No	SevenPlus	Crooked
Village	DoesNotHave	Wealthy	Little	No	No	Good	Yes	Much	Good	Poor	Good	Has	School	LessThanFive	Straight
City	Has	Poor	Little	Yes	No	Good	No	Little	Poor	Poor	Good	Has	No	SevenPlus	Crooked
City	DoesNotHave	Poor	Little	Yes	No	Good	No	Little	Good	Poor	Poor	Has	No	SevenPlus	Straight
Village	Has	Poor	Little	No	No	Poor	No	Much	Good	Good	Good	DoesNotHave	No	SevenPlus	Crooked
City	DoesNotHave	Poor	Little	No	No	Good	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Wealthy	Little	No	No	Good	No	Little	Poor	Good	Good	Has	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Good	No	Much	Good	Poor	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Little	Yes	Parents	Good	Yes	Much	Poor	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Good	No	Little	Good	Good	Good	Has	No	Six	Straight
City	Has	Poor	Little	Yes	No	Good	No	Much	Poor	Good	Poor	Has	No	SevenPlus	Crooked
Village	DoesNotHave	Poor	Much	No	No	Good	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Much	Yes	Parents	Good	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	DoesNotHave	Poor	Little	Yes	No	Good	No	Little	Good	Poor	Poor	DoesNotHave	No	SevenPlus	Straight
City	Has	Poor	Little	No	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Poor	Yes	Little	Poor	Poor	Poor	DoesNotHave	School	LessThanFive	Straight
City	Has	Poor	Much	No	No	Poor	Yes	Much	Good	Poor	Poor	DoesNotHave	School	LessThanFive	Straight
Village	Has	Poor	Little	Yes	No	Poor	Yes	Little	Poor	Good	Poor	Has	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	Siblings	Poor	Yes	Much	Poor	Poor	Poor	Has	Friends	LessThanFive	Crooked
City	Has	Poor	Little	Yes	Parents	Good	No	Little	Poor	Good	Poor	Has	School	Six	Straight
City	Has	Poor	Much	No	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	School	Six	Crooked
City	Has	Poor	Little	Yes	No	Poor	Yes	Little	Good	Good	Poor	DoesNotHave	School	LessThanFive	Straight
City	DoesNotHave	Poor	Little	No	No	Good	No	Little	Good	Poor	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Little	Yes	No	Good	Yes	Much	Poor	Poor	Poor	DoesNotHave	No	LessThanFive	Crooked
Village	DoesNotHave	Wealthy	Much	No	No	Poor	Yes	Little	Good	Good	Poor	Has	School	LessThanFive	Straight
Village	DoesNotHave	Poor	Little	Yes	No	Good	No	Much	Good	Good	Poor	DoesNotHave	No	LessThanFive	Straight
City	Has	Poor	Little	Yes	No	Good	No	Much	Poor	Good	Poor	Has	No	Six	Crooked
City	Has	Wealthy	Little	Yes	No	Good	Yes	Much	Poor	Poor	Good	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	Siblings	Good	No	Much	Poor	Good	Good	Has	No	SevenPlus	Crooked
Village	Has	Poor	Little	Yes	No	Good	No	Little	Good	Good	Poor	DoesNotHave	School	SevenPlus	Straight
City	Has	Poor	Much	No	No	Good	Yes	Much	Poor	Poor	Poor	Has	School	LessThanFive	Crooked
City	Has	Wealthy	Much	Yes	No	Good	No	Little	Good	Poor	Good	Has	No	SevenPlus	Straight
City	Has	Poor	Little	No	No	Poor	No	Much	Poor	Poor	Good	Has	School	SevenPlus	Straight
City	Has	Poor	Little	No	Siblings	Poor	No	Little	Good	Good	Poor	Has	No	Six	Straight
City	Has	Poor	Much	No	Siblings	Poor	Yes	Much	Poor	Good	Good	DoesNotHave	School	LessThanFive	Crooked
Village	Has	Wealthy	Much	Yes	Siblings	Good	No	Little	Good	Good	Good	Has	No	Six	Crooked
City	Has	Poor	Much	No	No	Poor	Yes	Much	Good	Good	Good	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Poor	Little	No	Siblings	Poor	No	Little	Good	Poor	Poor	Has	No	SevenPlus	Straight
City	DoesNotHave	Poor	Little	Yes	No	Good	No	Little	Poor	Good	Good	Has	No	SevenPlus	Crooked
City	Has	Wealthy	Little	Yes	No	Poor	Yes	Much	Good	Good	Poor	Has	School	LessThanFive	Crooked
City	Has	Wealthy	Little	No	No	Poor	Yes	Little	Good	Poor	Good	DoesNotHave	School	LessThanFive	Straight
City	Has	Poor	Little	Yes	No	Good	Yes	Much	Good	Poor	Poor	Has	School	LessThanFive	Crooked
Village	Has	Poor	Little	Yes	No	Poor	Yes	Much	Poor	Good	Poor	DoesNotHave	No	LessThanFive	Crooked
Village	DoesNotHave	Poor	Much	No	No	Good	No	Little	Poor	Good	Good	Has	No	Six	Crooked
Village	DoesNotHave	Poor	Little	Yes	No	Poor	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Little	Yes	Siblings	Good	Yes	Much	Good	Poor	Poor	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Poor	Little	No	Siblings	Poor	No	Little	Good	Good	Good	Has	No	Six	Straight
City	Has	Poor	Little	No	No	Good	Yes	Much	Good	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
Village	Has	Poor	Little	Yes	No	Poor	Yes	Much	Poor	Poor	Poor	Has	School	Six	Crooked
Village	DoesNotHave	Poor	Little	Yes	Siblings	Poor	Yes	Little	Poor	Good	Poor	DoesNotHave	Friends	LessThanFive	Crooked
Village	Has	Poor	Little	Yes	No	Good	No	Little	Good	Good	Poor	Has	School	SevenPlus	Straight
City	Has	Poor	Little	Yes	Siblings	Poor	Yes	Much	Poor	Poor	Poor	Has	School	LessThanFive	Crooked
City	Has	Poor	Much	Yes	No	Poor	Yes	Much	Good	Poor	Poor	DoesNotHave	School	Six	Crooked
City	DoesNotHave	Poor	Little	No	No	Poor	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
Village	DoesNotHave	Poor	Much	No	Parents	Poor	No	Little	Good	Good	Poor	Has	School	SevenPlus	Crooked
City	Has	Poor	Little	Yes	No	Good	Yes	Little	Good	Good	Poor	DoesNotHave	Friends	LessThanFive	Straight
City	Has	Poor	Little	Yes	Parents	Good	No	Much	Poor	Poor	Good	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	No	No	Good	Yes	Much	Good	Poor	Poor	Has	School	LessThanFive	Straight
City	Has	Poor	Little	No	No	Poor	Yes	Much	Good	Good	Good	DoesNotHave	School	Six	Crooked
City	Has	Poor	Little	No	No	Good	No	Little	Good	Good	Good	DoesNotHave	No	SevenPlus	Straight
Village	Has	Wealthy	Little	Yes	Siblings	Poor	Yes	Much	Poor	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Much	No	No	Poor	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
City	DoesNotHave	Poor	Little	Yes	No	Poor	No	Little	Good	Good	Good	Has	No	LessThanFive	Straight
City	Has	Poor	Much	Yes	Parents	Good	Yes	Much	Poor	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Wealthy	Little	Yes	No	Good	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
City	Has	Poor	Much	No	No	Good	Yes	Much	Good	Good	Good	DoesNotHave	Friends	LessThanFive	Straight
City	Has	Wealthy	Much	No	No	Good	No	Little	Good	Poor	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Little	Yes	No	Good	Yes	Little	Good	Good	Poor	DoesNotHave	School	LessThanFive	Straight
City	Has	Wealthy	Much	Yes	Siblings	Good	No	Much	Poor	Good	Poor	Has	No	Six	Crooked
City	Has	Poor	Much	Yes	Parents	Good	No	Much	Poor	Poor	Poor	DoesNotHave	School	Six	Crooked
City	Has	Poor	Much	Yes	Siblings	Poor	Yes	Much	Poor	Good	Good	DoesNotHave	Friends	LessThanFive	Crooked
Village	Has	Wealthy	Much	No	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	No	LessThanFive	Crooked
City	DoesNotHave	Poor	Little	Yes	Siblings	Poor	No	Much	Good	Poor	Poor	DoesNotHave	No	Six	Crooked
City	Has	Poor	Little	No	Siblings	Poor	No	Little	Poor	Good	Poor	Has	School	SevenPlus	Crooked
Village	DoesNotHave	Poor	Much	No	No	Poor	No	Much	Poor	Good	Good	Has	No	SevenPlus	Crooked
Village	DoesNotHave	Poor	Little	Yes	No	Good	No	Little	Good	Poor	Poor	Has	No	LessThanFive	Crooked
Village	Has	Poor	Little	Yes	No	Good	Yes	Much	Poor	Good	Poor	DoesNotHave	Friends	Six	Crooked
Village	DoesNotHave	Wealthy	Much	Yes	No	Good	No	Little	Poor	Good	Good	DoesNotHave	No	LessThanFive	Straight
Village	DoesNotHave	Poor	Much	No	No	Good	No	Much	Poor	Poor	Good	DoesNotHave	No	SevenPlus	Crooked
City	Has	Wealthy	Little	Yes	No	Good	No	Much	Poor	Good	Good	Has	No	SevenPlus	Crooked
City	Has	Poor	Much	No	No	Good	No	Much	Poor	Good	Poor	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	No	No	Poor	No	Little	Good	Good	Poor	Has	No	Six	Straight
City	DoesNotHave	Poor	Little	Yes	No	Poor	No	Little	Good	Good	Poor	Has	No	Six	Straight
City	Has	Poor	Much	No	Siblings	Poor	No	Much	Poor	Good	Good	Has	No	SevenPlus	Crooked
City	DoesNotHave	Wealthy	Little	Yes	No	Poor	No	Much	Good	Poor	Good	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	No	No	Good	Yes	Much	Good	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
Village	DoesNotHave	Poor	Little	Yes	Siblings	Poor	No	Much	Good	Good	Good	Has	Friends	SevenPlus	Crooked
Village	Has	Poor	Much	Yes	No	Poor	No	Little	Good	Good	Poor	DoesNotHave	No	SevenPlus	Straight
City	Has	Poor	Little	No	No	Poor	Yes	Little	Good	Poor	Poor	DoesNotHave	No	LessThanFive	Straight
Village	DoesNotHave	Wealthy	Little	No	No	Poor	No	Little	Good	Good	Good	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	No	No	Good	No	Little	Good	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Much	No	No	Poor	No	Much	Poor	Poor	Poor	Has	No	SevenPlus	Crooked
City	Has	Poor	Little	No	No	Good	Yes	Little	Good	Good	Poor	DoesNotHave	School	LessThanFive	Straight
City	DoesNotHave	Poor	Little	Yes	No	Poor	Yes	Much	Good	Poor	Good	Has	School	LessThanFive	Crooked
Village	Has	Wealthy	Little	Yes	No	Good	Yes	Much	Poor	Poor	Poor	DoesNotHave	No	LessThanFive	Crooked
Village	DoesNotHave	Wealthy	Much	Yes	No	Good	No	Little	Good	Good	Poor	Has	No	Six	Straight
City	DoesNotHave	Poor	Little	No	Parents	Poor	Yes	Little	Good	Good	Poor	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Wealthy	Little	No	No	Poor	No	Little	Good	Good	Poor	Has	No	Six	Straight
City	Has	Poor	Little	No	No	Poor	Yes	Much	Poor	Poor	Good	Has	School	Six	Crooked
City	Has	Wealthy	Little	No	No	Poor	Yes	Much	Poor	Good	Good	DoesNotHave	School	SevenPlus	Crooked
Village	DoesNotHave	Poor	Little	Yes	No	Poor	Yes	Little	Good	Good	Poor	DoesNotHave	School	LessThanFive	Straight
City	DoesNotHave	Wealthy	Much	Yes	No	Good	Yes	Much	Poor	Good	Poor	DoesNotHave	Friends	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Poor	Yes	Little	Poor	Good	Good	DoesNotHave	School	LessThanFive	Straight
Village	DoesNotHave	Poor	Much	No	No	Poor	No	Much	Poor	Good	Poor	Has	No	SevenPlus	Straight
City	Has	Poor	Much	Yes	No	Poor	Yes	Much	Poor	Poor	Poor	Has	School	LessThanFive	Crooked
City	DoesNotHave	Poor	Much	Yes	No	Poor	No	Much	Poor	Good	Poor	Has	No	Six	Crooked
City	Has	Poor	Little	No	No	Poor	Yes	Much	Poor	Poor	Good	DoesNotHave	No	Six	Crooked
City	DoesNotHave	Poor	Little	Yes	Parents	Good	No	Little	Good	Poor	Good	Has	No	SevenPlus	Straight
Village	DoesNotHave	Poor	Much	Yes	No	Poor	No	Little	Poor	Good	Poor	Has	No	SevenPlus	Straight
City	DoesNotHave	Poor	Little	Yes	No	Poor	Yes	Much	Poor	Poor	Poor	DoesNotHave	School	LessThanFive	Crooked
City	DoesNotHave	Poor	Little	Yes	No	Poor	No	Much	Poor	Poor	Good	Has	No	Six	Crooked
City	DoesNotHave	Wealthy	Much	No	No	Poor	No	Little	Good	Poor	Good	DoesNotHave	No	SevenPlus	Straight
City	Has	Wealthy	Little	Yes	No	Poor	Yes	Much	Good	Good	Poor	DoesNotHave	Friends	LessThanFive	Crooked
Village	DoesNotHave	Poor	Much	Yes	No	Good	No	Little	Good	Good	Poor	DoesNotHave	No	SevenPlus	Straight
City	Has	Wealthy	Much	No	No	Poor	Yes	Much	Poor	Poor	Good	Has	School	LessThanFive	Crooked
City	Has	Poor	Little	Yes	No	Poor	Yes	Much	Poor	Good	Poor	DoesNotHave	School	LessThanFive	Crooked
City	Has	Poor	Much	No	No	Poor	Yes	Much	Good	Good	Good	DoesNotHave	No	Six	Crooked
City	Has	Poor	Little	Yes	No	Good	No	Little	Good	Good	Good	Has	No	SevenPlus	Crooked
Village	Has	Poor	Little	No	No	Good	Yes	Much	Good	Good	Poor	DoesNotHave	Friends	SevenPlus	Crooked
City	Has	Poor	Little	Yes	Parents	Good	No	Much	Good	Poor	Poor	DoesNotHave	No	SevenPlus	Crooked
Village	DoesNotHave	Wealthy	Little	No	No	Poor	Yes	Much	Good	Good	Good	DoesNotHave	No	LessThanFive	Crooked
City	Has	Poor	Much	Yes	Parents	Good	No	Little	Poor	Poor	Good	Has	No	SevenPlus	Crooked
Village	DoesNotHave	Poor	Little	Yes	Siblings	Poor	Yes	Little	Good	Good	Poor	Has	School	LessThanFive	Crooked
City	DoesNotHave	Poor	Little	Yes	Siblings	Poor	Yes	Much	Poor	Poor	Good	DoesNotHave	Friends	LessThanFive	Crooked
City	DoesNotHave	Poor	Little	Yes	No	Good	No	Little	Good	Good	Good	Has	School	LessThanFive	Straight
City	Has	Wealthy	Little	No	No	Good	No	Much	Poor	Poor	Good	Has	School	Six	Crooked
